Day of adulthood,,Treatment
16,0,DG11Unc-84
16,1,DG11Unc-84
16,1,DG11Unc-84
16,1,DG11Unc-84
16,1,DG11Unc-84
16,1,DG11Unc-84
16,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
18,1,DG11Unc-84
21,0,DG11Unc-84
21,0,DG11Unc-84
21,0,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
21,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
23,1,DG11Unc-84
25,1,DG11Unc-84
25,1,DG11Unc-84
25,1,DG11Unc-84
25,1,DG11Unc-84
25,1,DG11Unc-84
25,1,DG11Unc-84
25,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
28,1,DG11Unc-84
30,1,DG11Unc-84
30,1,DG11Unc-84
30,1,DG11Unc-84
5,0,#13Zyg-12
5,0,#13Zyg-12
8,0,#13Zyg-12
8,0,#13Zyg-12
9,1,#13Zyg-12
12,1,#13Zyg-12
12,1,#13Zyg-12
12,1,#13Zyg-12
12,1,#13Zyg-12
12,1,#13Zyg-12
12,1,#13Zyg-12
12,1,#13Zyg-12
14,0,#13Zyg-12
14,0,#13Zyg-12
14,1,#13Zyg-12
14,1,#13Zyg-12
14,1,#13Zyg-12
14,1,#13Zyg-12
14,1,#13Zyg-12
14,1,#13Zyg-12
14,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
16,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
19,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
