Day of adulthood,Status,Treatment
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
11,1,cul-1 E3
11,1,cul-1 E3
11,1,cul-1 E3
12,1,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
12,0,cul-1 E3
